complaint_id,category,from_dept,to_dept,transfer_date,resolved,days_open
20436164,Electrical,Electrical Dept,Town Planning Dept,2024-01-07,False,11
20436164,Electrical,Town Planning Dept,Town Planning Dept,2024-01-18,True,22
20436040,Road Maintenance(Engg),PWD,Municipal Corp,2024-02-13,True,48
20435995,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-15,True,19
20435822,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2024-01-10,False,15
20435822,Solid Waste (Garbage) Related,Municipal Corp,Health Dept,2024-01-25,True,30
20435755,Electrical,Electrical Dept,Town Planning Dept,2024-02-05,True,41
20435667,Electrical,Electrical Dept,Town Planning Dept,2024-01-04,False,9
20435667,Electrical,Town Planning Dept,PWD,2024-01-13,True,18
20435647,Electrical,Electrical Dept,PWD,2024-01-18,False,23
20435647,Electrical,PWD,Municipal Corp,2024-02-10,True,46
20435620,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-01,False,6
20435620,Solid Waste (Garbage) Related,Health Dept,PWD,2024-01-07,True,12
20435558,Electrical,Electrical Dept,Town Planning Dept,2024-01-20,False,26
20435558,Electrical,Town Planning Dept,PWD,2024-02-15,True,52
20435549,Electrical,Electrical Dept,Municipal Corp,2024-01-08,False,14
20435549,Electrical,Municipal Corp,Municipal Corp,2024-01-22,True,28
20435510,Electrical,Electrical Dept,Municipal Corp,2023-12-30,False,5
20435510,Electrical,Municipal Corp,Municipal Corp,2024-01-04,True,10
20435508,Electrical,Electrical Dept,Municipal Corp,2024-02-08,True,45
20435493,Electrical,Electrical Dept,Municipal Corp,2024-01-15,False,21
20435493,Electrical,Municipal Corp,PWD,2024-02-05,True,42
20435487,Electrical,Electrical Dept,PWD,2024-01-15,False,21
20435487,Electrical,PWD,Town Planning Dept,2024-02-05,True,42
20435420,Electrical,Electrical Dept,Municipal Corp,2024-01-14,False,20
20435420,Electrical,Municipal Corp,Town Planning Dept,2024-02-03,True,40
20435371,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-02-11,True,48
20435312,Road Maintenance(Engg),PWD,SWD Dept,2024-01-21,False,27
20435312,Road Maintenance(Engg),SWD Dept,Municipal Corp,2024-02-17,True,54
20435309,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2024-01-17,True,23
20435120,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-27,True,34
20434987,Electrical,Electrical Dept,Municipal Corp,2024-01-10,False,18
20434987,Electrical,Municipal Corp,Town Planning Dept,2024-01-28,True,36
20434971,Electrical,Electrical Dept,Town Planning Dept,2024-02-21,True,60
20434888,Forest,Forest Dept,PWD,2024-01-21,False,29
20434888,Forest,PWD,PWD,2024-02-19,False,58
20434860,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-28,False,5
20434860,Road Maintenance(Engg),Town Planning Dept,Municipal Corp,2024-01-02,False,10
20434860,Road Maintenance(Engg),Municipal Corp,Town Planning Dept,2024-01-07,False,15
20434847,Road Maintenance(Engg),PWD,Municipal Corp,2024-02-04,True,43
20434747,Electrical,Electrical Dept,Municipal Corp,2023-12-25,False,3
20434747,Electrical,Municipal Corp,PWD,2023-12-28,True,6
20434583,Electrical,Electrical Dept,Municipal Corp,2024-01-01,False,10
20434583,Electrical,Municipal Corp,Municipal Corp,2024-01-11,True,20
20434539,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-01-01,True,10
20434408,Road Maintenance(Engg),PWD,Town Planning Dept,2024-01-18,False,28
20434408,Road Maintenance(Engg),Town Planning Dept,SWD Dept,2024-02-15,True,56
20434372,Electrical,Electrical Dept,Town Planning Dept,2024-01-03,True,13
20434273,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-10,False,20
20434273,Solid Waste (Garbage) Related,Health Dept,Municipal Corp,2024-01-30,True,40
20434209,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-30,False,9
20434209,Solid Waste (Garbage) Related,PWD,PWD,2024-01-08,True,18
20434188,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2024-02-09,True,50
20434184,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-01-13,False,23
20434184,Solid Waste (Garbage) Related,PWD,Municipal Corp,2024-02-05,True,46
20434040,Electrical,Electrical Dept,PWD,2024-01-08,False,19
20434040,Electrical,PWD,Municipal Corp,2024-01-27,True,38
20433978,Electrical,Electrical Dept,Municipal Corp,2024-01-08,True,19
20433972,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-23,False,3
20433972,Solid Waste (Garbage) Related,PWD,PWD,2023-12-26,True,6
20433926,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-31,True,42
20433868,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-29,True,9
20433820,Electrical,Electrical Dept,Municipal Corp,2024-01-07,True,19
20433783,Electrical,Electrical Dept,PWD,2024-02-17,True,60
20433777,Electrical,Electrical Dept,Municipal Corp,2024-01-25,True,37
20433729,Electrical,Electrical Dept,PWD,2024-01-11,False,23
20433729,Electrical,PWD,Municipal Corp,2024-02-03,True,46
20433550,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-02-08,True,51
20433493,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-28,False,10
20433493,Solid Waste (Garbage) Related,Municipal Corp,Municipal Corp,2024-01-07,True,20
20433462,Electrical,Electrical Dept,Municipal Corp,2023-12-29,True,11
20433438,Electrical,Electrical Dept,PWD,2023-12-31,False,13
20433438,Electrical,PWD,PWD,2024-01-13,True,26
20433345,Electrical,Electrical Dept,Town Planning Dept,2024-01-17,False,30
20433345,Electrical,Town Planning Dept,Municipal Corp,2024-02-16,True,60
20433248,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-26,True,8
20433245,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-15,False,28
20433245,Solid Waste (Garbage) Related,Health Dept,Health Dept,2024-02-12,True,56
20433129,Road Maintenance(Engg),PWD,SWD Dept,2024-01-04,True,17
20433127,Road Maintenance(Engg),PWD,Municipal Corp,2023-12-24,False,6
20433127,Road Maintenance(Engg),Municipal Corp,Town Planning Dept,2023-12-30,True,12
20433099,Electrical,Electrical Dept,Municipal Corp,2024-01-03,False,17
20433099,Electrical,Municipal Corp,Municipal Corp,2024-01-20,True,34
20433070,Electrical,Electrical Dept,Town Planning Dept,2024-01-14,False,28
20433070,Electrical,Town Planning Dept,Municipal Corp,2024-02-11,True,56
20433045,Electrical,Electrical Dept,Town Planning Dept,2024-02-01,True,46
20433018,Electrical,Electrical Dept,Municipal Corp,2023-12-27,True,10
20433004,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2024-01-17,True,31
20432905,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-26,False,9
20432905,Solid Waste (Garbage) Related,Municipal Corp,Health Dept,2024-01-04,True,18
20432885,Electrical,Electrical Dept,Municipal Corp,2024-01-14,True,29
20432824,Electrical,Electrical Dept,PWD,2023-12-26,False,10
20432824,Electrical,PWD,PWD,2024-01-05,True,20
20432700,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-01-09,False,24
20432700,Solid Waste (Garbage) Related,PWD,PWD,2024-02-02,True,48
20432652,Forest,Forest Dept,Parks Dept,2023-12-23,False,7
20432652,Forest,Parks Dept,Municipal Corp,2023-12-30,True,14
20432612,Road Maintenance(Engg),PWD,SWD Dept,2023-12-24,True,8
20432572,Electrical,Electrical Dept,PWD,2024-02-05,True,52
20432551,Electrical,Electrical Dept,Town Planning Dept,2023-12-23,True,8
20432542,Electrical,Electrical Dept,Town Planning Dept,2024-01-02,False,18
20432542,Electrical,Town Planning Dept,Municipal Corp,2024-01-20,True,36
20432400,Road Maintenance(Engg),PWD,Town Planning Dept,2024-01-21,True,37
20432369,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-24,True,9
20432345,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-02-01,True,48
20432271,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-21,False,6
20432271,Solid Waste (Garbage) Related,PWD,Health Dept,2023-12-27,True,12
20432168,Electrical,Electrical Dept,Municipal Corp,2024-01-27,True,44
20432098,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-01-06,False,23
20432098,Solid Waste (Garbage) Related,PWD,PWD,2024-01-29,True,46
20431918,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2023-12-24,False,10
20431918,Solid Waste (Garbage) Related,Health Dept,PWD,2024-01-03,True,20
20431880,Electrical,Electrical Dept,PWD,2023-12-23,False,10
20431880,Electrical,PWD,PWD,2024-01-02,True,20
20431875,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-01-29,True,47
20431839,Road Maintenance(Engg),PWD,Municipal Corp,2023-12-30,False,17
20431839,Road Maintenance(Engg),Municipal Corp,Town Planning Dept,2024-01-16,True,34
20431667,Electrical,Electrical Dept,Town Planning Dept,2024-01-16,True,34
20431647,Electrical,Electrical Dept,Town Planning Dept,2023-12-22,True,9
20431633,Health Dept,Health Dept,Municipal Corp,2024-01-19,True,37
20431617,Electrical,Electrical Dept,Municipal Corp,2024-01-09,True,27
20431611,Electrical,Electrical Dept,PWD,2024-01-10,True,28
20431587,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-01-15,True,33
20431570,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-01-04,False,22
20431570,Solid Waste (Garbage) Related,PWD,PWD,2024-01-26,True,44
20431485,Electrical,Electrical Dept,Town Planning Dept,2024-01-28,True,47
20431379,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-04,False,23
20431379,Solid Waste (Garbage) Related,Health Dept,Health Dept,2024-01-27,True,46
20431376,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2023-12-18,False,6
20431376,Solid Waste (Garbage) Related,Health Dept,PWD,2023-12-24,True,12
20431373,Forest,Forest Dept,Municipal Corp,2023-12-16,False,4
20431373,Forest,Municipal Corp,Municipal Corp,2023-12-20,False,8
20431373,Forest,Municipal Corp,PWD,2023-12-24,False,12
20431306,Electrical,Electrical Dept,PWD,2024-01-31,True,50
20431227,veterinary,Veterinary Dept,Municipal Corp,2024-01-29,True,48
20431146,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-22,False,10
20431146,Road Maintenance(Engg),Town Planning Dept,Town Planning Dept,2024-01-01,True,20
20431085,Electrical,Electrical Dept,PWD,2024-01-09,False,29
20431085,Electrical,PWD,Municipal Corp,2024-02-07,True,58
20431005,Electrical,Electrical Dept,Municipal Corp,2024-01-06,True,26
20430905,Electrical,Electrical Dept,Town Planning Dept,2023-12-18,False,7
20430905,Electrical,Town Planning Dept,PWD,2023-12-25,True,14
20430874,Electrical,Electrical Dept,Municipal Corp,2023-12-31,False,20
20430874,Electrical,Municipal Corp,Municipal Corp,2024-01-20,True,40
20430822,Electrical,Electrical Dept,Municipal Corp,2024-01-29,True,49
20430782,Electrical,Electrical Dept,PWD,2024-02-07,True,58
20430734,Electrical,Electrical Dept,Municipal Corp,2024-01-11,True,32
20430685,Electrical,Electrical Dept,PWD,2024-01-03,True,24
20430611,Electrical,Electrical Dept,Municipal Corp,2024-01-06,True,27
20430541,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-25,True,47
20430367,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-01-05,False,27
20430367,Solid Waste (Garbage) Related,PWD,Municipal Corp,2024-02-01,True,54
20429931,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2023-12-28,True,20
20429881,Electrical,Electrical Dept,Municipal Corp,2024-01-08,True,31
20429870,Electrical,Electrical Dept,PWD,2024-01-28,True,52
20429787,Electrical,Electrical Dept,Town Planning Dept,2024-01-04,False,28
20429787,Electrical,Town Planning Dept,Town Planning Dept,2024-02-01,True,56
20429750,Electrical,Electrical Dept,Municipal Corp,2023-12-29,True,22
20429717,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-05,True,29
20429567,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-16,False,9
20429567,Road Maintenance(Engg),Town Planning Dept,Municipal Corp,2023-12-25,True,18
20429553,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-19,False,12
20429553,Road Maintenance(Engg),Town Planning Dept,Town Planning Dept,2023-12-31,True,24
20429542,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-23,True,47
20429460,Electrical,Electrical Dept,PWD,2023-12-19,False,13
20429460,Electrical,PWD,Municipal Corp,2024-01-01,True,26
20429430,Electrical,Electrical Dept,Town Planning Dept,2023-12-19,False,13
20429430,Electrical,Town Planning Dept,Town Planning Dept,2024-01-01,True,26
20429428,Electrical,Electrical Dept,Town Planning Dept,2023-12-30,False,24
20429428,Electrical,Town Planning Dept,PWD,2024-01-23,True,48
20429379,Electrical,Electrical Dept,PWD,2023-12-18,True,12
20429309,Road Maintenance(Engg),PWD,Municipal Corp,2024-01-17,True,42
20429230,Electrical,Electrical Dept,Town Planning Dept,2023-12-17,True,11
20429206,Electrical,Electrical Dept,Town Planning Dept,2023-12-19,False,13
20429206,Electrical,Town Planning Dept,PWD,2024-01-01,True,26
20429155,Road Maintenance(Engg),PWD,SWD Dept,2023-12-27,False,21
20429155,Road Maintenance(Engg),SWD Dept,Town Planning Dept,2024-01-17,True,42
20429148,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2023-12-26,False,20
20429148,Solid Waste (Garbage) Related,Health Dept,Municipal Corp,2024-01-15,True,40
20429128,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2024-01-24,True,50
20429084,Road Maintenance(Engg),PWD,SWD Dept,2024-01-12,True,38
20429013,Electrical,Electrical Dept,PWD,2024-01-02,True,28
20428999,Road Maintenance(Engg),PWD,Municipal Corp,2024-01-21,True,47
20428952,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-28,False,23
20428952,Road Maintenance(Engg),Town Planning Dept,SWD Dept,2024-01-20,True,46
20428951,Road Maintenance(Engg),PWD,Municipal Corp,2023-12-23,False,18
20428951,Road Maintenance(Engg),Municipal Corp,SWD Dept,2024-01-10,False,36
20428940,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-17,False,12
20428940,Solid Waste (Garbage) Related,Municipal Corp,PWD,2023-12-29,True,24
20428859,Electrical,Electrical Dept,Municipal Corp,2023-12-25,False,20
20428859,Electrical,Municipal Corp,Municipal Corp,2024-01-14,True,40
20428853,Electrical,Electrical Dept,PWD,2023-12-28,False,23
20428853,Electrical,PWD,Town Planning Dept,2024-01-20,True,46
20428789,Road Maintenance(Engg),PWD,SWD Dept,2024-01-18,True,44
20428782,Road Maintenance(Engg),PWD,SWD Dept,2023-12-20,False,15
20428782,Road Maintenance(Engg),SWD Dept,Town Planning Dept,2024-01-04,False,30
20428589,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-15,False,11
20428589,Road Maintenance(Engg),Town Planning Dept,Municipal Corp,2023-12-26,True,22
20428576,Electrical,Electrical Dept,PWD,2023-12-21,False,17
20428576,Electrical,PWD,PWD,2024-01-07,True,34
20428563,Road Maintenance(Engg),PWD,Municipal Corp,2024-01-10,True,37
20428562,Road Maintenance(Engg),PWD,Town Planning Dept,2024-01-20,True,47
20428489,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-22,False,18
20428489,Solid Waste (Garbage) Related,PWD,PWD,2024-01-09,True,36
20428444,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2023-12-09,False,5
20428444,Solid Waste (Garbage) Related,Health Dept,PWD,2023-12-14,True,10
20428342,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2023-12-13,False,9
20428342,Solid Waste (Garbage) Related,Health Dept,Health Dept,2023-12-22,True,18
20428332,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-11,True,7
20428307,Electrical,Electrical Dept,Municipal Corp,2023-12-25,False,22
20428307,Electrical,Municipal Corp,PWD,2024-01-16,True,44
20428262,Electrical,Electrical Dept,Town Planning Dept,2023-12-25,False,22
20428262,Electrical,Town Planning Dept,Municipal Corp,2024-01-16,True,44
20428226,Electrical,Electrical Dept,PWD,2023-12-21,False,18
20428226,Electrical,PWD,Municipal Corp,2024-01-08,True,36
20428208,Electrical,Electrical Dept,Town Planning Dept,2024-01-18,True,46
20428170,Road Maintenance(Engg),PWD,Town Planning Dept,2024-01-25,True,53
20428150,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-12,False,9
20428150,Road Maintenance(Engg),Town Planning Dept,SWD Dept,2023-12-21,True,18
20428053,Electrical,Electrical Dept,Town Planning Dept,2023-12-06,False,4
20428053,Electrical,Town Planning Dept,Municipal Corp,2023-12-10,True,8
20427838,Electrical,Electrical Dept,Municipal Corp,2024-01-05,True,34
20427808,Electrical,Electrical Dept,Town Planning Dept,2023-12-25,False,23
20427808,Electrical,Town Planning Dept,Town Planning Dept,2024-01-17,True,46
20427796,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-28,False,26
20427796,Solid Waste (Garbage) Related,Municipal Corp,PWD,2024-01-23,True,52
20427715,Electrical,Electrical Dept,Town Planning Dept,2023-12-30,False,29
20427715,Electrical,Town Planning Dept,PWD,2024-01-28,True,58
20427618,Electrical,Electrical Dept,PWD,2024-01-22,True,52
20427466,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-11,False,10
20427466,Road Maintenance(Engg),Town Planning Dept,SWD Dept,2023-12-21,True,20
20427396,Electrical,Electrical Dept,Town Planning Dept,2023-12-28,False,27
20427396,Electrical,Town Planning Dept,PWD,2024-01-24,True,54
20427289,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-22,True,22
20427258,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2024-01-19,True,50
20427252,Electrical,Electrical Dept,PWD,2023-12-22,True,22
20427226,Electrical,Electrical Dept,Municipal Corp,2023-12-19,False,19
20427226,Electrical,Municipal Corp,Municipal Corp,2024-01-07,True,38
20427218,Electrical,Electrical Dept,PWD,2023-12-19,True,19
20427129,Electrical,Electrical Dept,Municipal Corp,2024-01-19,True,50
20427075,Forest,Forest Dept,Municipal Corp,2023-12-31,True,31
20427056,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-19,False,19
20427056,Solid Waste (Garbage) Related,Municipal Corp,Municipal Corp,2024-01-07,True,38
20426996,Electrical,Electrical Dept,PWD,2023-12-18,True,18
20426914,Electrical,Electrical Dept,Town Planning Dept,2023-12-26,False,27
20426914,Electrical,Town Planning Dept,Town Planning Dept,2024-01-22,True,54
20426890,Electrical,Electrical Dept,Town Planning Dept,2024-01-27,True,59
20426884,Electrical,Electrical Dept,Municipal Corp,2023-12-16,False,17
20426884,Electrical,Municipal Corp,PWD,2024-01-02,True,34
20426662,Electrical,Electrical Dept,PWD,2023-12-25,False,26
20426662,Electrical,PWD,PWD,2024-01-20,True,52
20426648,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-04,True,36
20426640,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-15,False,16
20426640,Solid Waste (Garbage) Related,Municipal Corp,Health Dept,2023-12-31,True,32
20426595,Electrical,Electrical Dept,Town Planning Dept,2023-12-11,False,13
20426595,Electrical,Town Planning Dept,Town Planning Dept,2023-12-24,True,26
20426583,Electrical,Electrical Dept,Municipal Corp,2023-12-23,False,25
20426583,Electrical,Municipal Corp,PWD,2024-01-17,True,50
20426525,Electrical,Electrical Dept,Town Planning Dept,2024-01-11,True,44
20426413,Electrical,Electrical Dept,Town Planning Dept,2023-12-28,True,30
20426354,Road Maintenance(Engg),PWD,SWD Dept,2023-12-08,True,10
20426344,Electrical,Electrical Dept,PWD,2023-12-04,False,6
20426344,Electrical,PWD,Municipal Corp,2023-12-10,True,12
20426330,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-19,True,21
20426171,Electrical,Electrical Dept,PWD,2023-12-06,False,9
20426171,Electrical,PWD,PWD,2023-12-15,True,18
20425946,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-23,False,26
20425946,Solid Waste (Garbage) Related,Municipal Corp,Municipal Corp,2024-01-18,True,52
20425903,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2023-12-07,False,10
20425903,Solid Waste (Garbage) Related,Health Dept,Municipal Corp,2023-12-17,True,20
20425855,Health Dept,Health Dept,Sanitation Dept,2024-01-18,True,52
20425850,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-06,False,9
20425850,Solid Waste (Garbage) Related,PWD,Health Dept,2023-12-15,True,18
20425790,Electrical,Electrical Dept,Municipal Corp,2024-01-18,True,53
20425784,Electrical,Electrical Dept,Municipal Corp,2023-12-13,True,17
20425689,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-16,True,20
20425603,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2023-12-19,False,23
20425603,Solid Waste (Garbage) Related,Health Dept,PWD,2024-01-11,True,46
20425596,Electrical,Electrical Dept,Town Planning Dept,2023-12-30,True,34
20425437,Electrical,Electrical Dept,PWD,2023-12-22,False,27
20425437,Electrical,PWD,Municipal Corp,2024-01-18,True,54
20425392,Road Maintenance(Engg),PWD,Town Planning Dept,2024-01-18,True,54
20425244,Road Maintenance(Engg),PWD,SWD Dept,2023-11-30,False,5
20425244,Road Maintenance(Engg),SWD Dept,Town Planning Dept,2023-12-05,True,10
20425038,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-14,False,20
20425038,Solid Waste (Garbage) Related,PWD,Municipal Corp,2024-01-03,True,40
20424969,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-19,False,25
20424969,Road Maintenance(Engg),Town Planning Dept,Town Planning Dept,2024-01-13,False,50
20424960,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-05,True,11
20424895,Electrical,Electrical Dept,Town Planning Dept,2023-12-23,False,29
20424895,Electrical,Town Planning Dept,Town Planning Dept,2024-01-21,True,58
20424869,Electrical,Electrical Dept,Town Planning Dept,2024-01-18,True,55
20424855,Electrical,Electrical Dept,Town Planning Dept,2023-12-21,True,27
20424777,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2023-12-17,False,23
20424777,Solid Waste (Garbage) Related,Municipal Corp,Health Dept,2024-01-09,True,46
20424752,Electrical,Electrical Dept,PWD,2023-11-25,False,2
20424752,Electrical,PWD,PWD,2023-11-27,True,4
20424523,Electrical,Electrical Dept,PWD,2023-12-25,True,32
20424409,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-17,False,25
20424409,Road Maintenance(Engg),Town Planning Dept,Municipal Corp,2024-01-11,True,50
20424406,Electrical,Electrical Dept,Town Planning Dept,2024-01-12,True,51
20424146,Road Maintenance(Engg),PWD,SWD Dept,2023-12-14,False,22
20424146,Road Maintenance(Engg),SWD Dept,Municipal Corp,2024-01-05,True,44
20424142,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-08,False,16
20424142,Solid Waste (Garbage) Related,PWD,PWD,2023-12-24,True,32
20424122,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2023-12-04,False,12
20424122,Solid Waste (Garbage) Related,Health Dept,Health Dept,2023-12-16,True,24
20424121,Road Maintenance(Engg),PWD,Town Planning Dept,2023-12-08,False,16
20424121,Road Maintenance(Engg),Town Planning Dept,Municipal Corp,2023-12-24,True,32
20424031,Electrical,Electrical Dept,Municipal Corp,2023-12-05,False,13
20424031,Electrical,Municipal Corp,PWD,2023-12-18,True,26
20424018,Road Maintenance(Engg),PWD,Municipal Corp,2023-11-29,False,8
20424018,Road Maintenance(Engg),Municipal Corp,Town Planning Dept,2023-12-07,True,16
20423980,Electrical,Electrical Dept,PWD,2023-12-19,False,28
20423980,Electrical,PWD,PWD,2024-01-16,True,56
20423976,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-12,False,21
20423976,Solid Waste (Garbage) Related,PWD,Municipal Corp,2024-01-02,True,42
20423871,Electrical,Electrical Dept,Municipal Corp,2023-12-29,True,38
20423811,Health Dept,Health Dept,Municipal Corp,2023-12-11,True,20
20423802,Electrical,Electrical Dept,Municipal Corp,2023-12-11,False,20
20423802,Electrical,Municipal Corp,Town Planning Dept,2023-12-31,True,40
20423794,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2023-12-14,False,23
20423794,Solid Waste (Garbage) Related,PWD,Municipal Corp,2024-01-06,True,46
20423680,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2023-12-18,False,27
20423680,Solid Waste (Garbage) Related,Health Dept,Health Dept,2024-01-14,True,54
